id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_td_bi_dataset_group_bi_user,td.bi.dataset group_bi_user,model_td_bi_dataset,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_dataset_group_bi_designer,td.bi.dataset group_bi_designer,model_td_bi_dataset,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_dataset_group_bi_admin,td.bi.dataset group_bi_admin,model_td_bi_dataset,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_dataset_field_group_bi_user,td.bi.dataset.field group_bi_user,model_td_bi_dataset_field,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_dataset_field_group_bi_designer,td.bi.dataset.field group_bi_designer,model_td_bi_dataset_field,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_dataset_field_group_bi_admin,td.bi.dataset.field group_bi_admin,model_td_bi_dataset_field,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_dataset_join_group_bi_user,td.bi.dataset.join group_bi_user,model_td_bi_dataset_join,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_dataset_join_group_bi_designer,td.bi.dataset.join group_bi_designer,model_td_bi_dataset_join,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_dataset_join_group_bi_admin,td.bi.dataset.join group_bi_admin,model_td_bi_dataset_join,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_dataset_join_key_group_bi_user,td.bi.dataset.join.key group_bi_user,model_td_bi_dataset_join_key,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_dataset_join_key_group_bi_designer,td.bi.dataset.join.key group_bi_designer,model_td_bi_dataset_join_key,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_dataset_join_key_group_bi_admin,td.bi.dataset.join.key group_bi_admin,model_td_bi_dataset_join_key,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_measure_group_bi_user,td.bi.measure group_bi_user,model_td_bi_measure,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_measure_group_bi_designer,td.bi.measure group_bi_designer,model_td_bi_measure,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_measure_group_bi_admin,td.bi.measure group_bi_admin,model_td_bi_measure,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_parameter_group_bi_user,td.bi.parameter group_bi_user,model_td_bi_parameter,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_parameter_group_bi_designer,td.bi.parameter group_bi_designer,model_td_bi_parameter,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_parameter_group_bi_admin,td.bi.parameter group_bi_admin,model_td_bi_parameter,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_dashboard_group_bi_user,td.bi.dashboard group_bi_user,model_td_bi_dashboard,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_dashboard_group_bi_designer,td.bi.dashboard group_bi_designer,model_td_bi_dashboard,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_dashboard_group_bi_admin,td.bi.dashboard group_bi_admin,model_td_bi_dashboard,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_dashboard_access_group_bi_user,td.bi.dashboard.access group_bi_user,model_td_bi_dashboard_access,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_dashboard_access_group_bi_designer,td.bi.dashboard.access group_bi_designer,model_td_bi_dashboard_access,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_dashboard_access_group_bi_admin,td.bi.dashboard.access group_bi_admin,model_td_bi_dashboard_access,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_dashboard_page_group_bi_user,td.bi.dashboard.page group_bi_user,model_td_bi_dashboard_page,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_dashboard_page_group_bi_designer,td.bi.dashboard.page group_bi_designer,model_td_bi_dashboard_page,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_dashboard_page_group_bi_admin,td.bi.dashboard.page group_bi_admin,model_td_bi_dashboard_page,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_widget_group_bi_user,td.bi.widget group_bi_user,model_td_bi_widget,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_widget_group_bi_designer,td.bi.widget group_bi_designer,model_td_bi_widget,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_widget_group_bi_admin,td.bi.widget group_bi_admin,model_td_bi_widget,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_control_group_bi_user,td.bi.control group_bi_user,model_td_bi_control,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_control_group_bi_designer,td.bi.control group_bi_designer,model_td_bi_control,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_control_group_bi_admin,td.bi.control group_bi_admin,model_td_bi_control,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_control_mapping_group_bi_user,td.bi.control.mapping group_bi_user,model_td_bi_control_mapping,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_control_mapping_group_bi_designer,td.bi.control.mapping group_bi_designer,model_td_bi_control_mapping,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_control_mapping_group_bi_admin,td.bi.control.mapping group_bi_admin,model_td_bi_control_mapping,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_theme_group_bi_user,td.bi.theme group_bi_user,model_td_bi_theme,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_theme_group_bi_designer,td.bi.theme group_bi_designer,model_td_bi_theme,td_bi_dashboard.group_bi_designer,1,0,0,0
access_td_bi_theme_group_bi_admin,td.bi.theme group_bi_admin,model_td_bi_theme,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_dashboard_state_group_bi_user,td.bi.dashboard.state group_bi_user,model_td_bi_dashboard_state,td_bi_dashboard.group_bi_user,1,1,1,1
access_td_bi_dashboard_state_group_bi_designer,td.bi.dashboard.state group_bi_designer,model_td_bi_dashboard_state,td_bi_dashboard.group_bi_designer,1,1,1,1
