drive_file_id	total_chars	total_parts	found
1XW7Nl1OHHzL2mxzuK1RxEXYzo9kJPctM78TyTB9Sxyc	3338	4	true
1vlbfVqqiFs7vpE9tqUZDYsAxo-xrVq3dIjnv3Nj1zMk	1646	3	true
1UUAp9IwWmM0yaD7mbeVXNKP5ociXVWH7stcswkARSB4	9750	5	true
12rrTdvWsEP3XMocAN-Z-qluJHsjcHvd-	14211	8	true
1wRRwzaToAgiy5V5NXEwpXOjP3-DFL_PLSShu-WL6IRU	6715	8	true
1YtgeG87tFNf619-3VaKq_DYN4Vjidi9fQAfwfshvMrc	3136	3	true
1xD_tW96q9mK2tH7iCJExkw0C4i_In2PD9xbDeBY3dtI	4455	5	true
1M4ZC4JaDlSMlBNF8Dx_RNou1BltguyLxFB62fJxjUGE	2624	5	true
1T-LC0EWWum_AgC2q6mzpBWrdlktcunM7	1063	3	true
1_4ce8qQXoZuk4lGQ5uvtdO-5DlKYqwXCMzrMyc5_kLE	2346	5	true
1-py3lRFAHEEufvbSofsEaYRfZ4o15U20	1351	4	true
1IEChR0swTc8fyQzu4zrFBytDRQYSIFkEDxtIVJZXIlU	14823	7	true
1o-Ag-SN-zB3XZ4s-rr35XoGKTn9LYIma	1104	4	true
1ec06aooaH44B65YNaYuUpgkM-n0F6Y0GOfpErbji6Cc	2488	5	true
1RTe-9R4_PRyN8wVmY_ut7IbegcbWmpOh	1564	4	true
10TXqBy3QHsLxtvA6KG1ACFX71yFujBOpxhw7FXP75os	1590	3	true
17Kk2hpZgiyrmZAPkC5Qr9Dg9RQrb14aC	1034	4	true
1eBSLkI7fk54oU5R2PqpNMa3FLmihQJ_irvaCuhf0ngg	5054	10	true
1UlAIbo1zC16Eg3wxkorTPUPqvi7b7phoLr-YqAPBdps	2917	6	true
1TgThUc2zqjYOEedBVjtlvzmcIN2CmmnZItqizqu5YpM	3546	5	true
14PjITXIBJyrRrUJqS3ykE2IBxhep5kd9v-Sxi474_YU	12912	6	true
1frlcQd4tNRNmXaolB_YIbj2FL587L17V	1082	4	true
1N6LEwupPVrUyduEvsOMXsftOR0bZ7F9xG-BoseMElc0	4609	6	true
1x2LBeGffkhNiho5YMk7HwRnCIJu7D1V_	2760	4	true
1GlhFmWgim_L11Akc9aaciitpYXzz4p56YpwDymEb53s	3463	5	true
1XJ9rq7yj_qu44KGRf3b1XwB3oEX09S_qvZiBSgQCAXM	4590	7	true
1lGFXbMjjRQYPLP-2h-HBmQCbHCNOE3dqWaw_rFpG95A	3362	5	true
1TrmNnmlEQNdrUuhoyj8v9mFLktDvb4jB	3533	6	true
1BD-U-oqdHYGoN8-2EjKz-iiq-aPsQwvw	1584	4	true
1BRxwRyyVcACOpgYEkddZ5kIqDHyOUv8UPzAfTqvz5iY	2134	4	true
1hxkUEohmrwhGBAM475Jrs_DdgWfMF3Xl	1484	4	true
1-1zB8GMn1AWC3ItBFU8cnahxpD3Lg_CZ9MtyHfZLmnk	1495	4	true
1AAcdqsSWSu7JD5e9-VgEiwXzelqXVJ7HhRccJgzXUtk	8862	3	true
1NeiXbeqjwI9mqC-ciHOFVkjPFeNn9MGx	8129	3	true
16ga521sS-m6voUdblERyqn1AB5bWLMzJ	1497	4	true
1RCmoIFlEsTgrmbVedSt8InNp_2Yc_24Nii45sGWo6wM	1367	4	true
1Q5xuhy6x2DlRJFlFFW6O6iBkqRLRDS45cEeNOcbNSJc	2150	3	true
1tDEPuwFJC7Qr1TloE8GY5usuRh-0dMpa	3153	5	true
16hMOY2jnvLmn136ngNXdqpPmHJMme0P10SpO7MAVH-c	6188	11	true
1TLZjwr5DzexN6UnnrfjY69B1hqVeDyDX	6088	14	true
1E8F28v2rXoSKnZt_Mv3-37ODsq6ThJjNIYEEHYULeAQ	2754	7	true
1QPTGepkoq73npUFhWgpLBvlS2PfcStEy	4687	11	true
1dCRwBz-wzBg0UPTNIjZKV9Gr7jym8aOHFYbJJMVwNCE	1234	4	true
1ZphSUXk06ogFW_6KIvhwv7WHqKKHQuRx_Z342lWAXjw	1310	4	true
1M5S3eiMuAjl8ckDcpt-yVzMyGXILiPpn	4483	10	true
1j6OpWkUQ8OfgGNfmyMufue7P0I858NjE1NVt-9AW9BU	2325	5	true
1URsdWMETpqzUutesixh5w3C5zmFQLsQftLFMniuM8cY	6661	8	true
1C03NObhsy0iEtibbwHBDlueLZNN9LZYGmh6XhMjBSL4	3437	5	true
1zmXSQHQEFzR5QoiHyoKJRyXwGKTn3PXM	1328	4	true
1SB6U5lKFYXqDQlcG_Aq0Tr7C3M9IfM3M1_QVDtYNTuQ	3050	5	true
1dCgCkD1g-dr1Ap6zy9WM7UPgZ2cnwIaE	1498	5	true
1V2q00abrE1vDmEfSA0XhxScHdRMBAmVXr_JGVzjAI8Y	1350	4	true
1-lK7blqJ1SJNk9z2V1y1CsjtB9ghcjcj29MgZrMIv6Q	1186	4	true
13tjIjdJW4htjOH8j_DyXIKuayUFdNuXbW7b9gSucWcE	1763	5	true
1bfIfD5esCRquouJ5yP9bMZd7iam9WIuKs42us5KLvdI	972	3	true
15aIiwLgL4Da06CRVXNVT1Fb0oJqdc5iaBLmjMEZXoWk	1190	4	true
1deKcMzrSJCkClvpcMhlX7gpkso2x26By6m4RkAOtXzA	4686	8	true
1gnkiEF1kjTdIRE3Q4Mut9jxIeDdx_EPb	4924	6	true
1lph57veiBozYYVdok_1LzpV8Zz-p5RVb	3440	6	true
1E_Uaf1TUdkMu1bbFkVV-M3nWP0MpuAE2	3161	6	true
1ZPHIgYHKabysdf1UGwx9f0p-bAN29O5v	4759	6	true
1m5T5KI_nMpJOCf241_iImLRzsWxhTTn3	4370	6	true
