drive_file_id	total_chars	total_parts	project	type	year	filename
17PsNr2rOFZet6_LEXx0NHP8DmIYp7zFJ__l4vP3y14s	59518	11	трител	Загальна	0	Трансрибація зустрічі - Уточнення по протоколам складу та моделювання дрібних моментів.docx
1Tp1K27VsE4lWaNKRtbKes9mt-njv_PkbHxqhTGl7-tI	51508	22	хайтек-енергія	Фінанси	2026	Протокол проведення інтерв'ю на тему "Фінансовий облік" від 13-05-2026.docx
1x6zpwP6jKR-CGtK75zlbza3YfEOsDkJ-Xh3JZ1xNboQ	49280	15	wiy-drones	Збір вимог	2026	Протокол обстеження Сервіс 29-04-2026.docx
1eEkCeot6ecS0TA25qODNNMRfvJnDt3U1oJOQKC-a118	47270	16	хайтек-енергія	Фінанси	2026	Протокол проведення інтерв'ю на тему "Фінансовий облік" від 21-05-2026.docx
1zo9JVYf2S5bDz9pMtxb2XNf9t3cNQm_ZdcG8M-nl6A4	46296	14	трител	Фінанси	0	Протокол обстеження – Моделювання процесів бухг.обліку (ОСВ, Додаткові витрати, Декларація ПДВ) - Трител.docx
1LZWlRrCLSaNmlME53e4xMArKh_l7VoF2S2l_c_aF4CE	38341	15	wiy-drones	Збір вимог	2026	Протокол обстеження Відділ продажів 30-04-2026.docx
1hOA9ZhhAm2tphfWyVVXkovOd0JM-7bnVPR2IA29dHQs	35692	18	wiy-drones	Збір вимог	2026	Протокол обстеження Складські процеси та Закупівлі 27-04-2026.docx
1shURb3DHnMYhMxA-lmPI7UiuLVYkpQBJ9gr5_0SkWxU	35622	34	ельфа-лабораторія	Збір вимог	0	Протокол обстеження (проведення інтерв'ю) Процес формування замовлення на точках.docx
18XG1O4s2ZoBlbzbKSP4-NzGcsDxqZtvkbadW53pESY4	35523	12	wiy-drones	Збір вимог	0	Протокол обстеження процесів Складу пакування.docx
1Ik7_CcZUDEHpWomMAIDRNlJZ_IHR7FG9t2fGcDKNecM	33768	11	агро-технік	Збір вимог	0	Протокол обстеження Виробництво.docx
